 Total Nb of available Diagnostics: ndiagt=   233
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTUTEND| 50 |    99 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    99 |TOTVTEND| 50 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND| 50 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND| 50 |       |SMR     MR|psu/day         |Tendency of Salinity
   102 |MoistCor| 50 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc | 50 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 50 |       |SMR     MR|psu/s           |Salinity forcing tendency
   105 |AB_gT   | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 50 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 50 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 50 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 50 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |AB_gW   | 50 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   112 |ADVr_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   113 |ADVx_TH | 50 |   114 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   114 |ADVy_TH | 50 |   113 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   115 |DFrE_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   116 |DFxE_TH | 50 |   117 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   117 |DFyE_TH | 50 |   116 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   118 |DFrI_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   119 |ADVr_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   120 |ADVx_SLT| 50 |   121 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   121 |ADVy_SLT| 50 |   120 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   122 |DFrE_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   123 |DFxE_SLT| 50 |   124 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   124 |DFyE_SLT| 50 |   123 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   125 |DFrI_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   126 |SALTFILL| 50 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   127 |VISCAHZ | 50 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   128 |VISCA4Z | 50 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   129 |VISCAHD | 50 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   130 |VISCA4D | 50 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   131 |VISCAHW | 50 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   132 |VISCA4W | 50 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   133 |VAHZMAX | 50 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   134 |VA4ZMAX | 50 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   135 |VAHDMAX | 50 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   136 |VA4DMAX | 50 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   137 |VAHZMIN | 50 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   138 |VA4ZMIN | 50 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   139 |VAHDMIN | 50 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   140 |VA4DMIN | 50 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   141 |VAHZLTH | 50 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   142 |VA4ZLTH | 50 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   143 |VAHDLTH | 50 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   144 |VA4DLTH | 50 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   145 |VAHZLTHD| 50 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   146 |VA4ZLTHD| 50 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   147 |VAHDLTHD| 50 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   148 |VA4DLTHD| 50 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   149 |VAHZSMAG| 50 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   150 |VA4ZSMAG| 50 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   151 |VAHDSMAG| 50 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   152 |VA4DSMAG| 50 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   153 |momKE   | 50 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   154 |momHDiv | 50 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   155 |momVort3| 50 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   156 |Strain  | 50 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   157 |Tension | 50 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   158 |UBotDrag| 50 |   159 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   159 |VBotDrag| 50 |   158 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   160 |USidDrag| 50 |   161 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   161 |VSidDrag| 50 |   160 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   162 |Um_Diss | 50 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   163 |Vm_Diss | 50 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   164 |Um_Advec| 50 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec| 50 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori | 50 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori | 50 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPHdx| 50 |   169 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   169 |Vm_dPHdy| 50 |   168 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   170 |Um_Ext  | 50 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  | 50 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_AdvZ3| 50 |   173 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   173 |Vm_AdvZ3| 50 |   172 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   174 |Um_AdvRe| 50 |   175 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   175 |Vm_AdvRe| 50 |   174 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   176 |Wm_Diss | 50 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   177 |Wm_Advec| 50 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   178 |WSidDrag| 50 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   179 |ADVx_Um | 50 |   180 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   180 |ADVy_Um | 50 |   179 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   181 |ADVrE_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   182 |ADVx_Vm | 50 |   183 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   183 |ADVy_Vm | 50 |   182 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   184 |ADVrE_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   185 |VISCx_Um| 50 |   186 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   186 |VISCy_Um| 50 |   185 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   187 |VISrE_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   188 |VISrI_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   189 |VISCx_Vm| 50 |   190 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   190 |VISCy_Vm| 50 |   189 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   191 |VISrE_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   192 |VISrI_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   193 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   194 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   195 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   196 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   197 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   198 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   199 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   201 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   202 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 increases uVel
   203 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 increases uVel
   204 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   205 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   206 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   207 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   208 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   209 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   210 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   211 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   212 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   213 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   214 |KPPviscA| 50 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   215 |KPPdiffS| 50 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   216 |KPPdiffT| 50 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   217 |KPPghatK| 50 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   218 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   219 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   220 |KPPdbsfc| 50 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   221 |KPPbfsfc| 50 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   222 |KPPRi   | 50 |       |SM P    UR|non-dimensional |Bulk Richardson number
   223 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   224 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   225 |KPPdbloc| 50 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   226 |KPPnuddt| 50 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   227 |KPPnudds| 50 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   228 |KPPg_TH | 50 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   229 |KPPg_SLT| 50 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   230 |DSLPuFlw|  1 |   231 |UU      M1|m^3/s           |Zonal  Down-Sloping Transport (u-component)
   231 |DSLPvFlw|  1 |   230 |VV      M1|m^3/s           |Merid. Down-Sloping Transport (v-component)
   232 |DSLP_TH | 50 |       |SMR     MR|K/s             | Pot.Temp. tendency from Down-Slope package
   233 |DSLP_SLT| 50 |       |SMR     MR|psu/s           | Salinity  tendency from Down-Slope package
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
