 Total Nb of available Diagnostics: ndiagt=   854
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   659 |VTRAC27 | 65 |   658 |VVr     MR|mg/m^3.m/s      |Merid Mass-Weighted Transp of Chl01
   660 |WTRAC27 | 65 |       |WM      MR|mg/m^3.m/s      |Vert  Mass-Weighted Transp of Chl01
   661 |ForcTr27| 65 |       |SMR     MR|mg/m^3/s        |Chl01 forcing tendency
   662 |AB_gTr27| 65 |       |SMR     MR|mg/m^3/s        |Chl01 tendency from Adams-Bashforth
   663 |Tp_gTr27| 65 |       |SMR     MR|mg/m^3/s        |Chl01 total transport tendency (before gchem_forcing_sep)
   664 |ADVrTr27| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical   Advective Flux of Chl01
   665 |ADVxTr27| 65 |   666 |UU      MR|mg/m^3.m^3/s    |Zonal      Advective Flux of Chl01
   666 |ADVyTr27| 65 |   665 |VV      MR|mg/m^3.m^3/s    |Meridional Advective Flux of Chl01
   667 |DFrETr27| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl01 (Explicit part)
   668 |DFxETr27| 65 |   669 |UU      MR|mg/m^3.m^3/s    |Zonal      Diffusive Flux of Chl01
   669 |DFyETr27| 65 |   668 |VV      MR|mg/m^3.m^3/s    |Meridional Diffusive Flux of Chl01
   670 |DFrITr27| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl01 (Implicit part)
   671 |KPPgTr27| 65 |       |WM      LR|mg/m^3.m^3/s    |KPP non-local Flux of Chl01
   672 |DSLPTr27| 65 |       |SMR     MR|mg/m^3/s        |Chl01 tendency from Down-Slope package
   673 |TRAC28  | 65 |       |SMR     MR|mg/m^3          |Chl02 concentration
   674 |UTRAC28 | 65 |   675 |UUr     MR|mg/m^3.m/s      |Zonal Mass-Weighted Transp of Chl02
   675 |VTRAC28 | 65 |   674 |VVr     MR|mg/m^3.m/s      |Merid Mass-Weighted Transp of Chl02
   676 |WTRAC28 | 65 |       |WM      MR|mg/m^3.m/s      |Vert  Mass-Weighted Transp of Chl02
   677 |ForcTr28| 65 |       |SMR     MR|mg/m^3/s        |Chl02 forcing tendency
   678 |AB_gTr28| 65 |       |SMR     MR|mg/m^3/s        |Chl02 tendency from Adams-Bashforth
   679 |Tp_gTr28| 65 |       |SMR     MR|mg/m^3/s        |Chl02 total transport tendency (before gchem_forcing_sep)
   680 |ADVrTr28| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical   Advective Flux of Chl02
   681 |ADVxTr28| 65 |   682 |UU      MR|mg/m^3.m^3/s    |Zonal      Advective Flux of Chl02
   682 |ADVyTr28| 65 |   681 |VV      MR|mg/m^3.m^3/s    |Meridional Advective Flux of Chl02
   683 |DFrETr28| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl02 (Explicit part)
   684 |DFxETr28| 65 |   685 |UU      MR|mg/m^3.m^3/s    |Zonal      Diffusive Flux of Chl02
   685 |DFyETr28| 65 |   684 |VV      MR|mg/m^3.m^3/s    |Meridional Diffusive Flux of Chl02
   686 |DFrITr28| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl02 (Implicit part)
   687 |KPPgTr28| 65 |       |WM      LR|mg/m^3.m^3/s    |KPP non-local Flux of Chl02
   688 |DSLPTr28| 65 |       |SMR     MR|mg/m^3/s        |Chl02 tendency from Down-Slope package
   689 |TRAC29  | 65 |       |SMR     MR|mg/m^3          |Chl03 concentration
   690 |UTRAC29 | 65 |   691 |UUr     MR|mg/m^3.m/s      |Zonal Mass-Weighted Transp of Chl03
   691 |VTRAC29 | 65 |   690 |VVr     MR|mg/m^3.m/s      |Merid Mass-Weighted Transp of Chl03
   692 |WTRAC29 | 65 |       |WM      MR|mg/m^3.m/s      |Vert  Mass-Weighted Transp of Chl03
   693 |ForcTr29| 65 |       |SMR     MR|mg/m^3/s        |Chl03 forcing tendency
   694 |AB_gTr29| 65 |       |SMR     MR|mg/m^3/s        |Chl03 tendency from Adams-Bashforth
   695 |Tp_gTr29| 65 |       |SMR     MR|mg/m^3/s        |Chl03 total transport tendency (before gchem_forcing_sep)
   696 |ADVrTr29| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical   Advective Flux of Chl03
   697 |ADVxTr29| 65 |   698 |UU      MR|mg/m^3.m^3/s    |Zonal      Advective Flux of Chl03
   698 |ADVyTr29| 65 |   697 |VV      MR|mg/m^3.m^3/s    |Meridional Advective Flux of Chl03
   699 |DFrETr29| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl03 (Explicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   700 |DFxETr29| 65 |   701 |UU      MR|mg/m^3.m^3/s    |Zonal      Diffusive Flux of Chl03
   701 |DFyETr29| 65 |   700 |VV      MR|mg/m^3.m^3/s    |Meridional Diffusive Flux of Chl03
   702 |DFrITr29| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl03 (Implicit part)
   703 |KPPgTr29| 65 |       |WM      LR|mg/m^3.m^3/s    |KPP non-local Flux of Chl03
   704 |DSLPTr29| 65 |       |SMR     MR|mg/m^3/s        |Chl03 tendency from Down-Slope package
   705 |TRAC30  | 65 |       |SMR     MR|mg/m^3          |Chl04 concentration
   706 |UTRAC30 | 65 |   707 |UUr     MR|mg/m^3.m/s      |Zonal Mass-Weighted Transp of Chl04
   707 |VTRAC30 | 65 |   706 |VVr     MR|mg/m^3.m/s      |Merid Mass-Weighted Transp of Chl04
   708 |WTRAC30 | 65 |       |WM      MR|mg/m^3.m/s      |Vert  Mass-Weighted Transp of Chl04
   709 |ForcTr30| 65 |       |SMR     MR|mg/m^3/s        |Chl04 forcing tendency
   710 |AB_gTr30| 65 |       |SMR     MR|mg/m^3/s        |Chl04 tendency from Adams-Bashforth
   711 |Tp_gTr30| 65 |       |SMR     MR|mg/m^3/s        |Chl04 total transport tendency (before gchem_forcing_sep)
   712 |ADVrTr30| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical   Advective Flux of Chl04
   713 |ADVxTr30| 65 |   714 |UU      MR|mg/m^3.m^3/s    |Zonal      Advective Flux of Chl04
   714 |ADVyTr30| 65 |   713 |VV      MR|mg/m^3.m^3/s    |Meridional Advective Flux of Chl04
   715 |DFrETr30| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl04 (Explicit part)
   716 |DFxETr30| 65 |   717 |UU      MR|mg/m^3.m^3/s    |Zonal      Diffusive Flux of Chl04
   717 |DFyETr30| 65 |   716 |VV      MR|mg/m^3.m^3/s    |Meridional Diffusive Flux of Chl04
   718 |DFrITr30| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl04 (Implicit part)
   719 |KPPgTr30| 65 |       |WM      LR|mg/m^3.m^3/s    |KPP non-local Flux of Chl04
   720 |DSLPTr30| 65 |       |SMR     MR|mg/m^3/s        |Chl04 tendency from Down-Slope package
   721 |TRAC31  | 65 |       |SMR     MR|mg/m^3          |Chl05 concentration
   722 |UTRAC31 | 65 |   723 |UUr     MR|mg/m^3.m/s      |Zonal Mass-Weighted Transp of Chl05
   723 |VTRAC31 | 65 |   722 |VVr     MR|mg/m^3.m/s      |Merid Mass-Weighted Transp of Chl05
   724 |WTRAC31 | 65 |       |WM      MR|mg/m^3.m/s      |Vert  Mass-Weighted Transp of Chl05
   725 |ForcTr31| 65 |       |SMR     MR|mg/m^3/s        |Chl05 forcing tendency
   726 |AB_gTr31| 65 |       |SMR     MR|mg/m^3/s        |Chl05 tendency from Adams-Bashforth
   727 |Tp_gTr31| 65 |       |SMR     MR|mg/m^3/s        |Chl05 total transport tendency (before gchem_forcing_sep)
   728 |ADVrTr31| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical   Advective Flux of Chl05
   729 |ADVxTr31| 65 |   730 |UU      MR|mg/m^3.m^3/s    |Zonal      Advective Flux of Chl05
   730 |ADVyTr31| 65 |   729 |VV      MR|mg/m^3.m^3/s    |Meridional Advective Flux of Chl05
   731 |DFrETr31| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl05 (Explicit part)
   732 |DFxETr31| 65 |   733 |UU      MR|mg/m^3.m^3/s    |Zonal      Diffusive Flux of Chl05
   733 |DFyETr31| 65 |   732 |VV      MR|mg/m^3.m^3/s    |Meridional Diffusive Flux of Chl05
   734 |DFrITr31| 65 |       |WM      LR|mg/m^3.m^3/s    |Vertical Diffusive Flux of Chl05 (Implicit part)
   735 |KPPgTr31| 65 |       |WM      LR|mg/m^3.m^3/s    |KPP non-local Flux of Chl05
   736 |DSLPTr31| 65 |       |SMR     MR|mg/m^3/s        |Chl05 tendency from Down-Slope package
   737 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   738 |PP      | 65 |       |SMRP    MR|mmol C/m^3/s    |Primary Production
   739 |Nfix    | 65 |       |SMRP    MR|mmol N/m^3/s    |N fixation
   740 |Denit   | 65 |       |SMRP    MR|mmol N/m^3/s    |Denitrification
   741 |DenitN  | 65 |       |SMRP    MR|mmol N/m^3/s    |Nitrogen loss due to denitrification
   742 |atten   | 65 |       |SMRP    MR|1               |attenuation in layer
   743 |PARF    | 65 |       |SMRP    LR|uEin/m^2/s      |PAR at top of layer
   744 |PAR     | 65 |       |SMRP    MR|uEin/m^2/s      |total PAR at layer center
   745 |C_NO3   | 65 |       |SM P    MR|mmolN/m3/s      |consumption of NO3
   746 |C_NO2   | 65 |       |SM P    MR|mmolN/m3/s      |consumption of NO2
   747 |C_NH4   | 65 |       |SM P    MR|mmolN/m3/s      |consumption of NH4
   748 |C_PO4   | 65 |       |SM P    MR|mmolP/m3/s      |consumption of PO4
   749 |C_Si    | 65 |       |SM P    MR|mmolSi/m3/s     |consumption of Si
   750 |C_Fe    | 65 |       |SM P    MR|mmolFe/m3/s     |consumption of Fe
   751 |S_NO3   | 65 |       |SM      MR|mmolN/m3/s      |non-transport source of NO3
   752 |S_NO2   | 65 |       |SM      MR|mmolN/m3/s      |non-transport source of NO2
   753 |S_NH4   | 65 |       |SM      MR|mmolN/m3/s      |non-transport source of NH4
   754 |S_PO4   | 65 |       |SM      MR|mmolP/m3/s      |non-transport source of PO4
   755 |S_Si    | 65 |       |SM      MR|mmolSi/m3/s     |non-transport source of Si
   756 |S_Fe    | 65 |       |SM      MR|mmolFe/m3/s     |non-transport source of Fe
   757 |gDAR01  | 65 |       |SMR     MR|uMC/s           |DIC tendency from DARWIN
   758 |gDAR02  | 65 |       |SMR     MR|uMN/s           |NO3 tendency from DARWIN
   759 |gDAR03  | 65 |       |SMR     MR|uMN/s           |NO2 tendency from DARWIN
   760 |gDAR04  | 65 |       |SMR     MR|uMN/s           |NH4 tendency from DARWIN
   761 |gDAR05  | 65 |       |SMR     MR|uMP/s           |PO4 tendency from DARWIN
   762 |gDAR06  | 65 |       |SMR     MR|uMFe/s          |FeT tendency from DARWIN
   763 |gDAR07  | 65 |       |SMR     MR|uMSi/s          |SiO2 tendency from DARWIN
   764 |gDAR08  | 65 |       |SMR     MR|uMC/s           |DOC tendency from DARWIN
   765 |gDAR09  | 65 |       |SMR     MR|uMN/s           |DON tendency from DARWIN
   766 |gDAR10  | 65 |       |SMR     MR|uMP/s           |DOP tendency from DARWIN
   767 |gDAR11  | 65 |       |SMR     MR|uMFe/s          |DOFe tendency from DARWIN
   768 |gDAR12  | 65 |       |SMR     MR|uMC/s           |POC tendency from DARWIN
   769 |gDAR13  | 65 |       |SMR     MR|uMN/s           |PON tendency from DARWIN
   770 |gDAR14  | 65 |       |SMR     MR|uMP/s           |POP tendency from DARWIN
   771 |gDAR15  | 65 |       |SMR     MR|uMFe/s          |POFe tendency from DARWIN
   772 |gDAR16  | 65 |       |SMR     MR|uMSi/s          |POSi tendency from DARWIN
   773 |gDAR17  | 65 |       |SMR     MR|uMC/s           |PIC tendency from DARWIN
   774 |gDAR18  | 65 |       |SMR     MR|meq/m^3/s       |ALK tendency from DARWIN
   775 |gDAR19  | 65 |       |SMR     MR|uMO/s           |O2 tendency from DARWIN
   776 |gDAR20  | 65 |       |SMR     MR|uMC/s           |c01 tendency from DARWIN
   777 |gDAR21  | 65 |       |SMR     MR|uMC/s           |c02 tendency from DARWIN
   778 |gDAR22  | 65 |       |SMR     MR|uMC/s           |c03 tendency from DARWIN
   779 |gDAR23  | 65 |       |SMR     MR|uMC/s           |c04 tendency from DARWIN
   780 |gDAR24  | 65 |       |SMR     MR|uMC/s           |c05 tendency from DARWIN
   781 |gDAR25  | 65 |       |SMR     MR|uMC/s           |c06 tendency from DARWIN
   782 |gDAR26  | 65 |       |SMR     MR|uMC/s           |c07 tendency from DARWIN
   783 |gDAR27  | 65 |       |SMR     MR|mg/m^3/s        |Chl01 tendency from DARWIN
   784 |gDAR28  | 65 |       |SMR     MR|mg/m^3/s        |Chl02 tendency from DARWIN
   785 |gDAR29  | 65 |       |SMR     MR|mg/m^3/s        |Chl03 tendency from DARWIN
   786 |gDAR30  | 65 |       |SMR     MR|mg/m^3/s        |Chl04 tendency from DARWIN
   787 |gDAR31  | 65 |       |SMR     MR|mg/m^3/s        |Chl05 tendency from DARWIN
   788 |sfcSolFe|  1 |       |SM P    L1|mmol Fe/m2/s    |Soluble iron input at sea surface
   789 |sedFe   | 65 |       |SMR     MR|mmol Fe/m2/s    |Iron input from sediment
   790 |freeFe  | 65 |       |SMR     MR|mmol Fe/m3/s    |Iron input from sediment
   791 |pH      | 65 |       |SMR     MR|1               |pH
   792 |pCO2    | 65 |       |SMRP    MR|atm             |Partial Pressure of CO2
   793 |fugfCO2 |  1 |       |SM P    L1|1               |Fugacity factor of CO2 at surface
   794 |fCO2    |  1 |       |SM P    L1|atm             |Fugacity of CO2 (atm)
   795 |fluxCO2 |  1 |       |SM      L1|mmol C/m2/s     |Flux of CO2 - air-sea exch
   796 |gDICsurf|  1 |       |SM      L1|mmol C/m3/s     |Tendency of DIC due to air-sea exch + oldvirt.flux
   797 |gDICEpr |  1 |       |SM      L1|mmol C/m3/s     |Tendency of DIC due to E/P/runoff
   798 |gALKEpr |  1 |       |SM      L1|mmol eq./m3/s   |Tendency of ALK due to E/P/runoff
   799 |gO2Epr  |  1 |       |SM      L1|mmol eq./m3/s   |Tendency of O2 due to E/P/runoff
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   800 |gNO3Epr |  1 |       |SM      L1|mmol N/m3/s     |Tendency of DIC due to E/P/runoff
   801 |gNO2Epr |  1 |       |SM      L1|mmol N/m3/s     |Tendency of DIC due to E/P/runoff
   802 |gNH4Epr |  1 |       |SM      L1|mmol N/m3/s     |Tendency of DIC due to E/P/runoff
   803 |gPO4Epr |  1 |       |SM      L1|mmol P/m3/s     |Tendency of PO4 due to E/P/runoff
   804 |gFeTEpr |  1 |       |SM      L1|mmol C/m3/s     |Tendency of FeT due to E/P/runoff
   805 |gSiO2Epr|  1 |       |SM      L1|mmol Si/m3/s    |Tendency of SiO2 due to E/P/runoff
   806 |gALKsurf|  1 |       |SM      L1|mmol eq/m3/s    |Tendency of ALK due to oldvirt.flux
   807 |gO2surf |  1 |       |SM      L1|mmol O2/m3/s    |Tendency of O2 due to air-sea exch
   808 |cDIC    | 65 |       |SMR     MR|mmol C/m3/s     |Consumption of DIC
   809 |cDIC_PIC| 65 |       |SMR     MR|mmol C/m3/s     |Consumption of DIC due to PIC
   810 |respDIC | 65 |       |SMR     MR|mmol C/m3/s     |DIC due to respiration
   811 |rDIC_DOC| 65 |       |SMR     MR|mmol C/m3/s     |DIC due to remineralization of DOC
   812 |rDIC_POC| 65 |       |SMR     MR|mmol C/m3/s     |DIC due to remineralization of POC
   813 |dDIC_PIC| 65 |       |SMR     MR|mmol C/m3/s     |DIC due to dissolution of PIC
   814 |C_ALK   | 65 |       |SMR     MR|mmol eq./m3/s   |Consumption of alkalinity
   815 |S_ALK   | 65 |       |SMR     MR|mmol eq./m3/s   |Non-transport source of alkalinity
   816 |C_O2    | 65 |       |SMR     MR|mmol O/m3/s     |Consumption of oxygen
   817 |S_O2    | 65 |       |SMR     MR|mmol O/m3/s     |Non-transport source of oxygen
   818 |surfPAR |  1 |       |SM P    L1|uEin/m^2/s      |PAR forcing at surface
   819 |surfiron|  1 |       |SM P    L1|mmol Fe/m^2/s   |iron forcing at surface
   820 |DARice  |  1 |       |SM P    L1|m^2/m^2         |ice area fraction
   821 |DARwind |  1 |       |SM P    L1|m/s             |wind speed used for carbon exchange
   822 |apCO2   |  1 |       |SM P    L1|atm             |atmospheric pCO2
   823 |apCO2sat|  1 |       |SM P    L1|atm             |atmospheric pCO2 sat
   824 |GC_Tr01 | 65 |       |SMR     MR|uM C            |DIC concentration before GCHEM
   825 |GC_Tr02 | 65 |       |SMR     MR|uM N            |NO3 concentration before GCHEM
   826 |GC_Tr03 | 65 |       |SMR     MR|uM N            |NO2 concentration before GCHEM
   827 |GC_Tr04 | 65 |       |SMR     MR|uM N            |NH4 concentration before GCHEM
   828 |GC_Tr05 | 65 |       |SMR     MR|uM P            |PO4 concentration before GCHEM
   829 |GC_Tr06 | 65 |       |SMR     MR|uM Fe           |FeT concentration before GCHEM
   830 |GC_Tr07 | 65 |       |SMR     MR|uM Si           |SiO2 concentration before GCHEM
   831 |GC_Tr08 | 65 |       |SMR     MR|uM C            |DOC concentration before GCHEM
   832 |GC_Tr09 | 65 |       |SMR     MR|uM N            |DON concentration before GCHEM
   833 |GC_Tr10 | 65 |       |SMR     MR|uM P            |DOP concentration before GCHEM
   834 |GC_Tr11 | 65 |       |SMR     MR|uM Fe           |DOFe concentration before GCHEM
   835 |GC_Tr12 | 65 |       |SMR     MR|uM C            |POC concentration before GCHEM
   836 |GC_Tr13 | 65 |       |SMR     MR|uM N            |PON concentration before GCHEM
   837 |GC_Tr14 | 65 |       |SMR     MR|uM P            |POP concentration before GCHEM
   838 |GC_Tr15 | 65 |       |SMR     MR|uM Fe           |POFe concentration before GCHEM
   839 |GC_Tr16 | 65 |       |SMR     MR|uM Si           |POSi concentration before GCHEM
   840 |GC_Tr17 | 65 |       |SMR     MR|uM C            |PIC concentration before GCHEM
   841 |GC_Tr18 | 65 |       |SMR     MR|meq/m^3         |ALK concentration before GCHEM
   842 |GC_Tr19 | 65 |       |SMR     MR|uM O            |O2 concentration before GCHEM
   843 |GC_Tr20 | 65 |       |SMR     MR|uM C            |c01 concentration before GCHEM
   844 |GC_Tr21 | 65 |       |SMR     MR|uM C            |c02 concentration before GCHEM
   845 |GC_Tr22 | 65 |       |SMR     MR|uM C            |c03 concentration before GCHEM
   846 |GC_Tr23 | 65 |       |SMR     MR|uM C            |c04 concentration before GCHEM
   847 |GC_Tr24 | 65 |       |SMR     MR|uM C            |c05 concentration before GCHEM
   848 |GC_Tr25 | 65 |       |SMR     MR|uM C            |c06 concentration before GCHEM
   849 |GC_Tr26 | 65 |       |SMR     MR|uM C            |c07 concentration before GCHEM
   850 |GC_Tr27 | 65 |       |SMR     MR|mg/m^3          |Chl01 concentration before GCHEM
   851 |GC_Tr28 | 65 |       |SMR     MR|mg/m^3          |Chl02 concentration before GCHEM
   852 |GC_Tr29 | 65 |       |SMR     MR|mg/m^3          |Chl03 concentration before GCHEM
   853 |GC_Tr30 | 65 |       |SMR     MR|mg/m^3          |Chl04 concentration before GCHEM
   854 |GC_Tr31 | 65 |       |SMR     MR|mg/m^3          |Chl05 concentration before GCHEM
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
